그랜저,101,1,69261
더 뉴 싼타페,102,1,70422
디 올 뉴 투싼,103,1,71091
쏘나타,104,1,70587
팰리세이드,105,1,69314
포터2,106,1,62308
아반떼,107,1,70460
모닝 어반,201,2,68327
레이,202,2,68575
K3,203,2,69060
K7,204,2,71281
K9,205,2,69052
모하비,206,2,69063
스포티지,207,2,71136
신형 K5,208,2,71481
쏘렌토,209,2,71680
카니발,210,2,70807
SM6,501,5,70746
뉴 QM6,502,5,71737
트레일블레이저,301,3,68791
쌍용 올 뉴 렉스턴,401,4,71727
G80,601,6,69506
G90,602,6,73461
GV80,603,6,70463
GV70,604,6,71838
The New E-Class,701,7,71112
C-Class,702,7,69581
S-Class,703,7,69578
GLC-Class,704,7,69568
The New GLE-Class,705,7,69591
GLB-Class,706,7,61520
New 5 Series,801,8,71122
7 Series,802,8,71383
1 Series,803,8,71343
2 Series,804,8,71349
New 3 Series,805,8,71312
X2,806,8,71400
X5,807,8,71465
A6,901,9,69882
A7,902,9,69873
A8,903,9,70904