트림 명칭,트림코드,라인업코드,사용여부,소비자가
플래티넘 5인승 (A/T),2060101,20601,Y,47020000
플래티넘 6인승 (A/T),2060102,20601,Y,48050000
플래티넘 7인승 (A/T),2060103,20601,Y,47660000
마스터즈 5인승 (A/T),2060104,20601,Y,51640000
마스터즈 6인승 (A/T),2060105,20601,Y,52670000
마스터즈 7인승 (A/T),2060106,20601,Y,52280000
마스터즈 그래비티 5인승 (A/T),2060107,20601,Y,55860000
마스터즈 그래비티 6인승 (A/T),2060108,20601,Y,56890000
마스터즈 그래비티 7인승 (A/T),2060109,20601,Y,56500000
플래티넘 5인승 (A/T),2060201,20602,Y,47020000
플래티넘 6인승 (A/T),2060202,20602,Y,48050000
플래티넘 7인승 (A/T),2060203,20602,Y,47660000
마스터즈 5인승 (A/T),2060204,20602,Y,51640000
마스터즈 6인승 (A/T),2060205,20602,Y,52670000
마스터즈 7인승 (A/T),2060206,20602,Y,52280000
마스터즈 그래비티 5인승 (A/T),2060207,20602,Y,55860000
마스터즈 그래비티 6인승 (A/T),2060208,20602,Y,56890000
마스터즈 그래비티 7인승 (A/T),2060209,20602,Y,56500000
스마트 (A/T),1040201,10402,Y,27540000
프리미엄 초이스 (5인승) (A/T),1020301,10203,Y,32050000
프레스티지 (5인승) (A/T),1020303,10203,Y,35140000
노블레스 (A/T),2100301,21003,Y,38240000
시그니처 (A/T),2100302,21003,Y,42360000
프레스티지 (A/T),2100501,21005,Y,31600000
노블레스 (A/T),2100502,21005,Y,35900000
시그니처 (A/T),2100503,21005,Y,39850000
프레스티지 (A/T),2100801,21008,Y,32800000
노블레스 (A/T),2100802,21008,Y,37100000
시그니처 (A/T),2100803,21008,Y,41050000
시그니처 (A/T),2100901,21009,Y,41050000
프레스티지 (A/T),2100601,21006,Y,32800000
노블레스 (A/T),2100602,21006,Y,37100000
시그니처 (A/T),2100603,21006,Y,41050000
시그니처 (A/T),2100604,21006,Y,41050000
프레스티지 (A/T),2100101,21001,Y,31600000
노블레스 (A/T),2100102,21001,Y,35900000
시그니처 (A/T),2100103,21001,Y,39850000
노블레스 (A/T),2100701,21007,Y,39420000
시그니처 (A/T),2100702,21007,Y,43540000
시그니처 (A/T),2100201,21002,Y,62710000
시그니처 (A/T),2100401,21004,Y,60660000
프레스티지 (7인승) (A/T),1020304,10203,Y,35780000
프리미엄 (7인승) (A/T),1020308,10203,Y,31860000
프리미엄 초이스 (7인승) (A/T),1020302,10203,Y,32690000
프리미엄 (5인승) (A/T),1020401,10204,Y,33480000
프리미엄 (7인승) (A/T),1020402,10204,Y,34120000
프리미엄 초이스 (5인승) (A/T),1020403,10204,Y,34310000
프리미엄 초이스 (7인승) (A/T),1020404,10204,Y,34950000
프레스티지 (5인승) (A/T),1020405,10204,Y,37400000
프레스티지 (7인승) (A/T),1020406,10204,Y,38040000
럭셔리 AWD (A/T),6020301,60203,Y,84420000
럭셔리 AWD (A/T),6020101,60201,Y,81480000
럭셔리 RWD (A/T),6020102,60201,Y,79030000
프리미엄 럭셔리 AWD (A/T),6020103,60201,Y,93750000
프레스티지 AWD (A/T),6020104,60201,Y,111910000
럭셔리 RWD (A/T),6020302,60203,Y,81970000
프리미엄 럭셔리 AWD (A/T),6020303,60203,Y,96700000
프레스티지 AWD (A/T),6020304,60203,Y,114860000
프레스티지 AWD (A/T),6020201,60202,Y,119770000
익스클루시브 (8인승) (A/T),1050102,10501,Y,35730000
프레스티지 (8인승) (A/T),1050104,10501,Y,41130000
익스클루시브 (8인승) (A/T),1050302,10503,Y,37210000
프레스티지 (8인승) (A/T),1050304,10503,Y,42610000
트렌디 (A/T),2070701,20707,Y,24150000
프레스티지 (A/T),2070702,20707,Y,26210000
익스클루시브 (7인승) (A/T),1050101,10501,Y,36020000
프레스티지 그래비티 (A/T),2070703,20707,Y,26550000
시그니처 (A/T),2070704,20707,Y,29500000
프레스티지 (7인승) (A/T),1050103,10501,Y,41420000
익스클루시브 (8인승) (A/T),1050202,10502,Y,38040000
익스클루시브 (7인승) (A/T),1050201,10502,Y,38330000
프레스티지 (8인승) (A/T),1050204,10502,Y,43440000
프레스티지 (7인승) (A/T),1050203,10502,Y,43730000
캘리그래피 (7인승) (A/T),1050205,10502,Y,48550000
시그니처 그래비티 (A/T),2070705,20707,Y,29840000
트렌디 (A/T),2070801,20708,Y,26210000
익스클루시브 (7인승) (A/T),1050301,10503,Y,37500000
프레스티지 (7인승) (A/T),1050303,10503,Y,42900000
익스클루시브 (8인승) (A/T),1050402,10504,Y,39520000
익스클루시브 (7인승) (A/T),1050401,10504,Y,39810000
프레스티지 (8인승) (A/T),1050404,10504,Y,44920000
프레스티지 (7인승) (A/T),1050403,10504,Y,45210000
캘리그래피 (7인승) (A/T),1050405,10504,Y,50030000
프레스티지 (A/T),2070802,20708,Y,28270000
프레스티지 그래비티 (A/T),2070803,20708,Y,28610000
시그니처 (A/T),2070804,20708,Y,31560000
시그니처 그래비티 (A/T),2070805,20708,Y,31900000
트렌디 (A/T),2070901,20709,Y,24640000
프레스티지 (A/T),2070902,20709,Y,26700000
프레스티지 그래비티 (A/T),2070903,20709,Y,27040000
시그니처 (A/T),2070904,20709,Y,29990000
시그니처 그래비티 (A/T),2070905,20709,Y,30330000
트렌디 (A/T),2071001,20710,Y,26700000
프레스티지 (A/T),2071002,20710,Y,28760000
프레스티지 그래비티 (A/T),2071003,20710,Y,29100000
시그니처 (A/T),2071004,20710,Y,32050000
시그니처 그래비티 (A/T),2071005,20710,Y,32390000
프레스티지 (A/T),2070601,20706,Y,23760000
프레스티지 그래비티 (A/T),2070602,20706,Y,24100000
시그니처 (A/T),2070603,20706,Y,27050000
시그니처 그래비티 (A/T),2070604,20706,Y,27390000
스마트 (A/T),1040101,10401,Y,23860000
프리미엄 (A/T),1040102,10401,Y,26310000
프리미엄 패밀리 (A/T),1040103,10401,Y,28760000
프리미엄 밀레니얼 (A/T),1040104,10401,Y,30530000
인스퍼레이션 (A/T),1040105,10401,Y,32980000
프리미엄 (A/T),1040501,10405,Y,26410000
프리미엄 패밀리 (A/T),1040502,10405,Y,29160000
프리미엄 밀레니얼 (A/T),1040503,10405,Y,30920000
인스퍼레이션 (A/T),1040504,10405,Y,33130000
프리미엄 (5인승) (A/T),1020307,10203,Y,31220000
프레스티지 (A/T),2040901,20409,Y,32440000
노블레스 (A/T),2040902,20409,Y,33870000
X 에디션 (A/T),2040903,20409,Y,35240000
노블레스 (A/T),2041001,20410,Y,36130000
시그니처 (A/T),2041002,20410,Y,38190000
프레스티지 (A/T),2040801,20408,Y,36390000
노블레스 (A/T),2040802,20408,Y,38160000
시그니처 (A/T),2040803,20408,Y,40320000
프레스티지 (A/T),2040701,20407,Y,31370000
노블레스 (A/T),2040702,20407,Y,36070000
프레스티지 리무진 AWD (A/T),6020202,60202,Y,156090000
스마트 (A/T),1040401,10404,Y,24890000
프리미엄 (A/T),1010101,10101,Y,32940000
프리미엄 초이스 (A/T),1010102,10101,Y,33680000
익스클루시브 (A/T),1010103,10101,Y,36810000
캘리그래피 (A/T),1010104,10101,Y,41080000
프리미엄 (A/T),1010201,10102,Y,35780000
프리미엄 초이스 (A/T),1010202,10102,Y,36520000
익스클루시브 (A/T),1010203,10102,Y,39220000
캘리그래피 (A/T),1010204,10102,Y,43490000
프리미엄 (A/T),1010401,10104,Y,33280000
프리미엄 초이스 (A/T),1010402,10104,Y,34020000
프리미엄 (A/T),1010301,10103,Y,36690000
익스클루시브 (A/T),1010302,10103,Y,40120000
캘리그래피 (A/T),1010303,10103,Y,44890000
트렌디 (A/T),2080901,20809,Y,24350000
프레스티지 (A/T),2080902,20809,Y,27240000
노블레스 (A/T),2080903,20809,Y,29210000
시그니처 (A/T),2080904,20809,Y,31510000
트렌디 (A/T),2080701,20807,Y,23560000
프레스티지 (A/T),2080702,20807,Y,26060000
노블레스 (A/T),2080703,20807,Y,28030000
시그니처 (A/T),2080704,20807,Y,30730000
트렌디 (A/T),2080801,20808,Y,27540000
프레스티지 (A/T),2080802,20808,Y,29510000
프리미엄 초이스 (A/T),1010304,10103,Y,37430000
노블레스 (A/T),2080803,20808,Y,31490000
시그니처 (A/T),2080804,20808,Y,33650000
프레스티지 (A/T),2080601,20806,Y,26510000
노블레스 (A/T),2080602,20806,Y,29210000
시그니처 (A/T),2080603,20806,Y,30680000
2WD (5인승) (A/T),6030301,60303,Y,64600000
2WD (5인승) (A/T),6030101,60301,Y,60670000
2WD (5인승) (A/T),6030201,60302,Y,66070000
2WD (7인승) (A/T),6030102,60301,Y,61650000
AWD (A/T),6010301,60103,Y,58110000
AWD (A/T),6010101,60101,Y,55660000
AWD (A/T),6010201,60102,Y,62140000
AWD (5인승) (A/T),6030202,60302,Y,69510000
AWD (7인승) (A/T),6030203,60302,Y,70490000
2WD (7인승) (A/T),6030302,60303,Y,65580000
AWD (5인승) (A/T),6030303,60303,Y,68040000
AWD (7인승) (A/T),6030304,60303,Y,69020000
AWD (5인승) (A/T),6030103,60301,Y,64110000
AWD (7인승) (A/T),6030104,60301,Y,65090000
2WD (7인승) (A/T),6030204,60302,Y,67050000
2WD (A/T),6010102,60101,Y,52910000
2WD (A/T),6010202,60102,Y,59390000
2WD (A/T),6010302,60103,Y,55360000
플래티넘 RWD (A/T),2050101,20501,Y,54780000
베스트 셀렉션ⅠAWD (A/T),2050103,20501,Y,60770000
그랜드 플래티넘 AWD (A/T),2050104,20501,Y,68520000
베스트 셀렉션Ⅱ AWD (A/T),2050105,20501,Y,76420000
마스터즈 RWD (A/T),2050301,20503,Y,65770000
그랜드 마스터즈 AWD (A/T),2050303,20503,Y,73230000
베스트 셀렉션Ⅱ AWD (A/T),2050304,20503,Y,81140000
퀀텀 AWD (A/T),2050201,20502,Y,92030000
캘리그래피 (7인승) (A/T),1050305,10503,Y,47720000
캘리그래피 (7인승) (A/T),1050105,10501,Y,46240000
프리미엄 (A/T),1040402,10404,Y,27050000
프리미엄 패밀리 (A/T),1040403,10404,Y,29450000
프리미엄 밀레니얼 (A/T),1040404,10404,Y,31220000
인스퍼레이션 (A/T),1040405,10404,Y,33670000
프리미엄 (A/T),1040202,10402,Y,29610000
프리미엄 패밀리 (A/T),1040203,10402,Y,32270000
프리미엄 밀레니얼 (A/T),1040204,10402,Y,34090000
인스퍼레이션 (A/T),1040205,10402,Y,35990000
2WD 모던 (A/T),1030201,10302,Y,24350000
2WD 프리미엄 (A/T),1030202,10302,Y,26410000
2WD 인스퍼레이션 (A/T),1030203,10302,Y,31550000
AWD 모던 (A/T),1030204,10302,Y,26310000
AWD 프리미엄 (A/T),1030205,10302,Y,28370000
AWD 인스퍼레이션 (A/T),1030206,10302,Y,33510000
2WD 모던 (A/T),1030301,10303,Y,26260000
2WD 프리미엄 (A/T),1030302,10303,Y,28320000
2WD 인스퍼레이션 (A/T),1030303,10303,Y,33460000
AWD 모던 (A/T),1030304,10303,Y,28470000
AWD 프리미엄 (A/T),1030305,10303,Y,30530000
AWD 인스퍼레이션 (A/T),1030306,10303,Y,35670000
플래티넘 AWD (A/T),2050102,20501,Y,57230000
마스터즈 AWD (A/T),2050302,20503,Y,68220000
슈퍼캡 초장축 스타일 (A/T),1060501,10605,Y,17880000
슈퍼캡 초장축 스마트 (A/T),1060502,10605,Y,18330000
슈퍼캡 초장축 모던 (A/T),1060503,10605,Y,19400000
슈퍼캡 초장축 프리미엄 (A/T),1060504,10605,Y,21030000
더블캡 초장축 스타일 (A/T),1060505,10605,Y,19150000
더블캡 초장축 스마트 (A/T),1060506,10605,Y,19600000
더블캡 초장축 모던 (A/T),1060507,10605,Y,20670000
더블캡 초장축 프리미엄 (A/T),1060508,10605,Y,22360000
일반캡 초장축 스타일 (A/T),1060509,10605,Y,17770000
일반캡 초장축 스마트 (A/T),1060510,10605,Y,18220000
일반캡 초장축 모던 (A/T),1060511,10605,Y,19250000
일반캡 초장축 프리미엄 (A/T),1060512,10605,Y,20880000
슈퍼캡 초장축 스마트 스페셜 (A/T),1060701,10607,Y,40600000
슈퍼캡 초장축 프리미엄 스페셜 (A/T),1060702,10607,Y,42740000
내장탑차 초장축 슈퍼캡 스타일 (A/T),1060901,10609,Y,20020000
내장탑차 초장축 슈퍼캡 스마트 (A/T),1060902,10609,Y,21770000
내장탑차 초장축 슈퍼캡 모던플러스 (A/T),1060903,10609,Y,24120000
내장탑차 초장축 더블캡 스마트 (A/T),1060904,10609,Y,22840000
하이내장탑차 초장축 일반캡 스마트 (A/T),1060905,10609,Y,22260000
하이내장탑차 초장축 슈퍼캡 스타일 (A/T),1060906,10609,Y,20760000
하이내장탑차 초장축 슈퍼캡 스마트 (A/T),1060907,10609,Y,22300000
하이내장탑차 초장축 슈퍼캡 모던플러스 (A/T),1060908,10609,Y,24650000
내장탑파워게이트 초장축 슈퍼캡 스마트 (A/T),1060909,10609,Y,25470000
저상내장탑차 초장축 슈퍼캡 스타일 (A/T),1060910,10609,Y,20130000
냉동탑차 초장축 일반캡 스마트 트윈컴프 (A/T),1061001,10610,Y,25080000
냉동탑차 초장축 슈퍼캡 스타일 싱글컴프 (A/T),1061002,10610,Y,24440000
냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (A/T),1061003,10610,Y,24490000
냉동탑차 초장축 슈퍼캡 스마트 트윈컴프 (A/T),1061004,10610,Y,25310000
냉동탑차 초장축 슈퍼캡 모던플러스 트윈컴프 (A/T),1061005,10610,Y,27660000
초저온냉동탑차 초장축 슈퍼캡 스마트 트윈컴프 (일체형) (A/T),1061006,10610,Y,26500000
하이냉동탑차 초장축 일반캡 스마트 트윈검프 (A/T),1061007,10610,Y,25320000
하이냉동탑차 초장축 슈퍼캡 스타일 싱글컴프 (A/T),1061008,10610,Y,24920000
하이냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (A/T),1061009,10610,Y,24970000
하이냉동탑차 초장축 슈퍼캡 스마트 트윈컴프 (A/T),1061010,10610,Y,25680000
하이냉동탑차 초장축 슈퍼캡 모던플러스 트윈컴프 (A/T),1061011,10610,Y,28030000
저상냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (A/T),1061012,10610,Y,23840000
저상복합냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (다용도) (A/T),1061013,10610,Y,23930000
저상복합냉동탑차 초장축 슈퍼캡 스타일 트윈컴프 (미닫이) (A/T),1061014,10610,Y,24430000
냉장탑차 초장축 슈퍼캡 스타일 트윈컴프 (A/T),1061015,10610,Y,23780000
냉장탑차 초장축 슈퍼캡 스마트 트윈컴프 (A/T),1061016,10610,Y,25190000
하이냉장탑차 초장축 슈퍼캡 스타일 트윈검프 (A/T),1061017,10610,Y,24700000
하이냉장탑차 초장축 슈퍼캡 스마트 트윈검프 (A/T),1061018,10610,Y,25200000
수동식윙바디 초장축 슈퍼캡 스타일 (A/T),1061101,10611,Y,21790000
수동식윙바디 초장축 슈퍼캡 스마트 (A/T),1061102,10611,Y,22400000
전동식윙바디 초장축 슈퍼캡 스타일 (A/T),1061103,10611,Y,23600000
전동식윙바디 초장축 슈퍼캡 스마트 (A/T),1061104,10611,Y,24310000
활어운반차 초장축 슈퍼캡 스마트 (A/T),1061105,10611,Y,22980000
다용도탑차 초장축 슈퍼캡 스마트 (A/T),1061106,10611,Y,22020000
파워게이트 초장축 슈퍼캡 스타일 (A/T),1061201,10612,Y,21250000
파워게이트 초장축 슈퍼캡 스마트 (A/T),1061202,10612,Y,21760000
파워게이트 초장축 더블캡 스마트 (A/T),1061203,10612,Y,23080000
트랜스파워게이트 초장축 슈퍼캡 스마트 (A/T),1061204,10612,Y,22970000
시티밴 초장축 슈퍼캡 스마트 (A/T),1061205,10612,Y,25390000
스마트 (A/T),1070102,10701,Y,17170000
모던 (A/T),1070103,10701,Y,19480000
인스퍼레이션 (A/T),1070104,10701,Y,24530000
스포츠 (A/T),1070202,10702,Y,23750000
인스퍼레이션 (A/T),1070203,10702,Y,27790000
스마트 (A/T),1070301,10703,Y,21990000
모던 (A/T),1070302,10703,Y,23770000
인스퍼레이션 (A/T),1070303,10703,Y,28140000
스타일 (A/T),1070401,10704,Y,18550000
스마트 (A/T),1070402,10704,Y,20860000
모던 (A/T),1070403,10704,Y,22230000
밴 (A/T),2010101,20101,Y,11800000
밴 스페셜 (A/T),2010102,20101,Y,12350000
스탠다드 (A/T),2010103,20101,Y,11950000
스탠다드 마이너스 (A/T),2010104,20101,Y,11750000
프레스티지 (A/T),2010105,20101,Y,13500000
시그니처 (A/T),2010106,20101,Y,14800000
시그니처 엣지-UP (A/T),2010107,20101,Y,15450000
스탠다드 (A/T),2020101,20201,Y,13500000
프레스티지 (A/T),2020102,20201,Y,14700000
시그니처 (A/T),2020103,20201,Y,15700000
밴 스탠다드 (A/T),2020104,20201,Y,12600000
밴 프레스티지 (A/T),2020105,20201,Y,13000000
밴 스페셜 (A/T),2020106,20201,Y,13450000
스탠다드 (A/T),2030101,20301,Y,17570000
스탠다드 LED 팩 (A/T),2030102,20301,Y,18650000
프레스티지 (A/T),2030103,20301,Y,19440000
시그니처 (A/T),2030104,20301,Y,21400000
SE (A/T),5010101,50101,Y,24500000
SE 플러스 (A/T),5010102,50101,Y,26810000
LE (A/T),5010103,50101,Y,28960000
RE (A/T),5010104,50101,Y,31120000
프리미에르 (A/T),5010105,50101,Y,32650000
LE (A/T),5010201,50102,Y,30730000
프리미에르 (A/T),5010202,50102,Y,34220000
SE (A/T),5010301,50103,Y,24010000
SE 플러스 (A/T),5010302,50103,Y,26310000
LE (A/T),5010303,50103,Y,28470000
RE (A/T),5010304,50103,Y,30490000
SE (A/T),5020101,50201,Y,24740000
LE (A/T),5020102,50201,Y,26310000
RE (A/T),5020103,50201,Y,28720000
RE 시그니처 (A/T),5020104,50201,Y,30390000
프리미에르 (A/T),5020105,50201,Y,33240000
SE (A/T),5020201,50202,Y,24350000
LE (A/T),5020202,50202,Y,25920000
RE (A/T),5020203,50202,Y,28330000
RE 시그니처 (A/T),5020204,50202,Y,30000000
프리미에르 (A/T),5020205,50202,Y,32450000
2WD 럭셔리 (A/T),4010101,40101,Y,37360000
2WD 프레스티지 (A/T),4010102,40101,Y,42160000
4WD 럭셔리 (A/T),4010103,40101,Y,39290000
4WD 프레스티지 (A/T),4010104,40101,Y,44090000
4WD 더 블랙 (A/T),4010105,40101,Y,50160000
2WD 럭셔리 (A/T),4010201,40102,Y,36950000
2WD 프레스티지 (A/T),4010202,40102,Y,41750000
4WD 럭셔리 (A/T),4010203,40102,Y,38880000
4WD 프레스티지 (A/T),4010204,40102,Y,43680000
4WD 더 블랙 (A/T),4010205,40102,Y,49750000
프리미엄 (5인승) (A/T),1020101,10201,Y,29750000
프리미엄 (7인승) (A/T),1020102,10201,Y,30390000
프리미엄 초이스 (5인승) (A/T),1020103,10201,Y,30580000
프리미엄 초이스 (7인승) (A/T),1020104,10201,Y,31220000
프레스티지 (5인승) (A/T),1020105,10201,Y,33670000
프레스티지 (7인승) (A/T),1020106,10201,Y,34310000
캘리그래피 (5인승) (A/T),1020107,10201,Y,38380000
캘리그래피 (7인승) (A/T),1020108,10201,Y,39020000
프리미엄 (5인승) (A/T),1020201,10202,Y,32010000
프리미엄 (7인승) (A/T),1020202,10202,Y,32650000
프리미엄 초이스 (5인승) (A/T),1020203,10202,Y,32840000
프리미엄 초이스 (7인승) (A/T),1020204,10202,Y,33480000
프레스티지 (5인승) (A/T),1020205,10202,Y,35930000
프레스티지 (7인승) (A/T),1020206,10202,Y,36570000
캘리그래피 (5인승) (A/T),1020207,10202,Y,40640000
캘리그래피 (7인승) (A/T),1020208,10202,Y,41280000
캘리그래피 (5인승) (A/T),1020305,10203,Y,39850000
캘리그래피 (7인승) (A/T),1020306,10203,Y,40490000
캘리그래피 (5인승) (A/T),1020407,10204,Y,42110000
캘리그래피 (7인승) (A/T),1020408,10204,Y,42750000
VIP (7인승) (A/T),1050106,10501,Y,51830000
VIP (7인승) (A/T),1050206,10502,Y,54150000
VIP (7인승) (A/T),1050306,10503,Y,53320000
VIP (7인승) (A/T),1050406,10504,Y,55630000
모던 (A/T),1030101,10301,Y,28570000
프리미엄 (A/T),1030102,10301,Y,30730000
인스퍼레이션 (A/T),1030103,10301,Y,34670000
LS (A/T),3010101,30101,Y,19590000
LT (A/T),3010102,30101,Y,21850000
LT (A/T),3010201,30102,Y,22640000
프리미어 (A/T),3010202,30102,Y,24450000
프리미어 AWD (A/T),3010203,30102,Y,26520000
액티브 (A/T),3010204,30102,Y,25230000
액티브 AWD (A/T),3010205,30102,Y,27300000
RS (A/T),3010206,30102,Y,25730000
RS AWD (A/T),3010207,30102,Y,27800000
트렌디 (5인승) (A/T),2090301,20903,Y,29250000
트렌디 (6인승) (A/T),2090302,20903,Y,30040000
트렌디 (7인승) (A/T),2090303,20903,Y,29940000
프레스티지 (5인승) (A/T),2090304,20903,Y,32100000
프레스티지 (6인승) (A/T),2090305,20903,Y,32890000
프레스티지 (7인승) (A/T),2090306,20903,Y,32790000
노블레스 (5인승) (A/T),2090307,20903,Y,35050000
노블레스 (6인승) (A/T),2090308,20903,Y,36230000
노블레스 (7인승) (A/T),2090309,20903,Y,35740000
시그니처 (5인승) (A/T),2090310,20903,Y,37890000
